projectid;CURRENT.DATE;simulationid;WLVG;WLVD;WST;WRT;WSO;TAGB;TSUM;DVS;LAI;TRANRF;GRT;NNI;NPKI;ES0;ETC;TRMAX;EVMAX;WAVT;TPAR;TPARINT;FINT;RAIN;WBAL;WBALL;SMACT;TDRAIN;TRAIN;TRUNOF;TIRR;TESOIL;TTRANS;WTOT;TWDR;CFET;CFEV;CRAIRC;DEPNR;IAIRDU;IOPT;IRRI;KSUB;RDI;RDMCR;RDMSO;RUNFR;SM0;SMDRY;SMFC;SMI;SMLOWI;SMW;RD;RR;RDM
in1;21.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.136010728092113;1.253217730038137;1.0E-4;1.136010728092113;9.999999999999998;0.0;0.0;0.0;9.12553880260702;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;22.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.5987209661729247;0.5520467052890088;1.0E-4;0.5987209661729247;9.999999999999998;0.0;0.0;0.0;5.90677717826793;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;23.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.7873055243534471;0.8098040846828788;1.0E-4;0.7873055243534471;9.999999999999998;0.0;0.0;0.0;1.66867180723784;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;24.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.9980947215244224;1.0547843353737307;1.0E-4;0.9980947215244224;9.999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;25.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.2251635289706282;1.2139611948962878;1.0E-4;1.2251635289706282;9.999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;26.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.5791863365149844;0.581441682823905;1.0E-4;0.5791863365149844;9.999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;27.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.4820398432879729;0.39045290191433935;1.0E-4;0.4820398432879729;9.999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;28.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.16441466020043116;0.12553522823667446;1.0E-4;0.16441466020043116;9.999999999999998;0.0;0.0;0.0;9.24240350718719;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;29.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0385800551573248;1.036925064947939;1.0E-4;1.0385800551573248;9.999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;30.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.8278085221235641;0.822388026881797;1.0E-4;0.8278085221235641;9.999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
in1;31.01.1973;in1_00__2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.1152717467691051;1.1852480737399809;1.0E-4;1.1152717467691051;9.999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;2.0;0.07;4.5;false;4;0;100.0;0.1;1.25;1.5;0.0;0.45;0.15;0.35;0.3;0.3;0.2;0.0;0.0;1.25
